fileName,size,Total weights,time
graph-10-1.txt,10,2392,1.2E-05
graph-10-2.txt,10,3332,1.1E-05
graph-10-3.txt,10,2797,1.3E-05
graph-10-4.txt,10,1975,1E-05
graph-100-1.txt,100,21556,2.3E-05
graph-100-2.txt,100,24789,3E-05
graph-100-3.txt,100,25711,2.8E-05
graph-100-4.txt,100,22679,2.2E-05
graph-1000-1.txt,1000,175092,0.000227
graph-1000-2.txt,1000,198771,0.000173
graph-1000-3.txt,1000,203801,0.00026
graph-1000-4.txt,1000,166399,0.000222
graph-10000-1.txt,10000,1839547,0.002431
graph-10000-2.txt,10000,1728321,0.002755
graph-10000-3.txt,10000,1636484,0.005486
graph-10000-4.txt,10000,1842856,0.002398
graph-20000-1.txt,20000,3731095,0.006511
graph-20000-2.txt,20000,3792657,0.005846
